shipment_id,shipment_date,origin_warehouse,destination_region,carrier,transport_mode,distance_km,weight_kg,shipment_volume_units,inventory_level,transportation_cost,delivery_time_days,delayed,distance_km_norm,weight_kg_norm,transportation_cost_norm,delivery_time_days_norm,inventory_level_norm,shipment_volume_units_norm
SHP101059,2025-11-18 11:56:59.849874,WH-Chennai,West,Carrier D,Road,1018.2,76.1,117,2035,11988.14,1.7,1,0.5865508743105269,0.05334760012228676,0.658808222795438,0.6122448979591836,0.4066066066066066,0.45714285714285713
SHP100553,2025-06-17 21:11:51.592994,WH-Mumbai,South,Carrier D,Road,720.0,115.1,126,294,8683.21,1.2,0,0.411571411806126,0.08315499847141546,0.4800173655312463,0.4081632653061224,0.05805805805805806,0.5857142857142857
SHP100594,2025-06-30 07:55:35.779816,WH-Bengaluru,North,Carrier C,Sea,408.3,235.1,114,3475,1851.94,0.9,0,0.22867034385635487,0.17487007031488838,0.11045776230117635,0.2857142857142857,0.6948948948948949,0.4142857142857143
SHP100267,2025-03-23 01:22:52.143452,WH-Mumbai,West,Carrier C,Sea,235.5,262.1,105,2911,2016.22,2.3,1,0.12727379415561554,0.1955059614796698,0.11934501922684841,0.857142857142857,0.581981981981982,0.2857142857142857
SHP100081,2025-01-25 14:10:18.515429,WH-Kolkata,East,Carrier C,Rail,1094.9,79.0,112,1360,7706.42,1.2,0,0.631557328952001,0.05556404769183736,0.4271747572257482,0.4081632653061224,0.2714714714714715,0.38571428571428573
SHP100259,2025-03-20 15:05:33.277731,WH-Bengaluru,South,Carrier C,Rail,454.3,123.4,121,4063,3130.17,0.8,0,0.25566248092946836,0.08949862427392234,0.1796077405097338,0.2448979591836735,0.8126126126126126,0.5142857142857142
SHP100216,2025-03-07 13:47:29.374478,WH-Chennai,South,Carrier D,Rail,483.7,264.7,107,1083,3445.93,0.2,0,0.27291397723271915,0.1974931213696117,0.19668979704035355,0.0,0.21601601601601603,0.3142857142857143
SHP100383,2025-04-27 06:33:55.696413,WH-Mumbai,East,Carrier A,Rail,408.9,484.0,109,2975,4527.07,0.8,0,0.2290224152094824,0.3651024151635585,0.25517755545660087,0.2448979591836735,0.5947947947947948,0.34285714285714286
SHP100255,2025-03-19 09:56:53.844870,WH-Delhi,North,Carrier C,Road,177.9,125.2,126,1811,2603.08,0.2,0,0.09347494425536909,0.09087435035157444,0.151093105417498,0.0,0.3617617617617618,0.5857142857142857
SHP100310,2025-04-05 02:40:56.046705,WH-Delhi,North,Carrier D,Road,138.5,429.3,103,4782,2441.82,0.2,0,0.07035559206665884,0.3232956282482421,0.14236922514093436,0.0,0.9565565565565566,0.2571428571428571
SHP100980,2025-10-25 12:21:01.050875,WH-Chennai,East,Carrier C,Rail,396.3,226.2,115,2804,3099.23,0.2,0,0.22162891679380353,0.16806786915316413,0.17793394132979531,0.0,0.5605605605605606,0.42857142857142855
SHP101198,2025-12-30 16:42:50.141784,WH-Bengaluru,South,Carrier A,Road,530.1,216.2,111,1694,6240.35,0.4,0,0.300140828541251,0.1604249464995414,0.3478629678355603,0.08163265306122448,0.3383383383383383,0.37142857142857144
SHP100355,2025-04-18 18:33:19.666388,WH-Mumbai,South,Carrier C,Road,512.9,197.5,124,4402,6325.27,1.2,0,0.2900481164182607,0.14613268113726688,0.3524569893727412,0.4081632653061224,0.8804804804804804,0.5571428571428572
SHP100167,2025-02-20 16:46:26.321934,WH-Mumbai,Central,Carrier B,Road,1113.4,326.2,114,1693,14099.98,1.1,0,0.642412862340101,0.2444970956893916,0.7730550249984531,0.3673469387755102,0.33813813813813814,0.4142857142857143
