shipment_id,shipment_date,origin_warehouse,destination_region,carrier,transport_mode,distance_km,weight_kg,shipment_volume_units,inventory_level,transportation_cost,delivery_time_days,delayed
SHP101059,2025-11-18 11:56:59.849874,WH-Chennai,West,Carrier D,Road,1018.2,76.1,117,2035,11988.14,1.7,1
SHP100553,2025-06-17 21:11:51.592994,WH-Mumbai,South,Carrier D,Road,720.0,115.1,126,294,8683.21,1.2,0
SHP100594,2025-06-30 07:55:35.779816,WH-Bengaluru,North,Carrier C,Sea,408.3,235.1,114,3475,1851.94,0.9,0
SHP100267,2025-03-23 01:22:52.143452,WH-Mumbai,West,Carrier C,Sea,235.5,262.1,105,2911,2016.22,2.3,1
SHP100081,2025-01-25 14:10:18.515429,WH-Kolkata,East,Carrier C,Rail,1094.9,79.0,112,1360,7706.42,1.2,0
SHP100259,2025-03-20 15:05:33.277731,WH-Bengaluru,South,Carrier C,rail,454.3,123.4,121,4063,3130.17,0.8,0
SHP100216,2025-03-07 13:47:29.374478,WH-Chennai,South,Carrier D,Rail,483.7,264.7,107,1083,3445.93,0.2,0
SHP100383,2025-04-27 06:33:55.696413,WH-Mumbai,East,Carrier A,Rail,408.9,484.0,109,2975,4527.07,0.8,0
SHP100255,2025-03-19 09:56:53.844870,WH-Delhi,North,Carrier C,Road,177.9,125.2,126,1811,2603.08,0.2,0
SHP100310,2025-04-05 02:40:56.046705,WH-Delhi,North,Carrier D,Road,138.5,429.3,103,4782,2441.82,0.2,0
SHP100980,2025-10-25 12:21:01.050875,WH-Chennai,East,Carrier C,Rail,396.3,226.2,115,2804,3099.23,0.2,0
SHP101198,2025-12-30 16:42:50.141784,WH-Bengaluru,South,Carrier A,Road,530.1,216.2,111,1694,6240.35,0.4,0
SHP100355,2025-04-18 18:33:19.666388,WH-Mumbai,South,Carrier C,Road,512.9,,124,4402,6325.27,1.2,0
SHP100167,2025-02-20 16:46:26.321934,WH-Mumbai,Central,Carrier B,Road,1113.4,326.2,114,1693,14099.98,1.1,0
SHP100189,2025-02-27 09:04:03.202668,WH-Delhi,North,Carrier D,Air,277.4,302.0,118,3773,16086.08,0.3,0
SHP100414,2025-05-06 16:26:01.301084,WH-Bengaluru,Central,Carrier C,Rail,132.4,270.4,120,3693,6192.158735123582,0.2,0
SHP100347,2025-04-16 08:16:00.800667,WH-Bengaluru,South,Carrier C,Rail,738.7,325.1,128,4709,5668.57,0.3,0
SHP100370,2025-04-23 07:50:47.539616,WH-Bengaluru,East,Carrier B,Road,191.1,184.5,119,986,2351.18,0.4,0
SHP100108,2025-02-02 18:53:44.687239,WH-Chennai,East,Carrier B,Road,688.4,302.4,123,2194,9477.13,2.6,1
SHP101082,2025-11-25 11:31:46.588824,WH-Delhi,West,Carrier B,Air,101.6,158.6,120,4292,5823.74,2.1,1
SHP100844,2025-09-14 05:26:40.333611,WH-Kolkata,Central,Carrier B,Rail,172.1,334.9,123,3773,3076.5,0.8,0
SHP100159,2025-02-18 06:29:07.456213,WH-Bengaluru,West,Carrier B,Road,1137.5,394.6,153,4033,14574.34,1.4,1
SHP100301,2025-04-02 09:06:27.322768,WH-Kolkata,West,Carrier A,Road,329.6,242.8,108,131,4636.57,0.2,0
SHP100135,2025-02-10 23:37:10.859049,WH-Delhi,South,Carrier A,Rail,354.2,456.7,116,4089,3362.23,0.7,0
SHP100596,2025-06-30 22:29:55.496246,WH-Chennai,North,Carrier B,Road,351.5,,93,3058,3807.91,0.4,0
SHP100578,2025-06-25 11:20:58.048373,WH-Chennai,North,Carrier C,Air,497.7,680.3,132,3885,28398.15,2.2,1
SHP100797,2025-08-30 22:59:56.997497,WH-Delhi,West,Carrier A,Road,919.7,409.6,120,1833,12418.54,1.1,0
SHP100459,2025-05-20 08:18:24.920767,WH-Bengaluru,West,Carrier C,Rail,363.3,35.5,109,950,3077.89,0.5,0
SHP100665,2025-07-21 21:14:15.713094,WH-Kolkata,Central,Carrier A,Road,390.7,134.0,140,1425,5384.58,0.2,0
SHP100908,2025-10-03 15:45:11.259382,WH-Delhi,West,Carrier A,Road,1008.2,130.8,127,783,12574.88,1.2,0
SHP101169,2025-12-21 21:25:04.253544,WH-Bengaluru,West,Carrier D,Road,679.3,158.8,115,3179,8179.59,0.9,0
SHP100190,2025-02-27 16:21:13.060884,WH-Delhi,North,Carrier A,Rail,1395.1,596.0,112,4670,10933.31,0.8,0
SHP101051,2025-11-16 01:39:40.984153,WH-Chennai,West,Carrier C,Air,759.9,262.6,129,2349,41924.7,0.4,0
SHP100773,2025-08-23 16:08:00.400333,WH-Delhi,Central,Carrier D,Road,475.5,81.7,112,1469,5740.32,1.6,1
SHP101040,2025-11-12 17:30:52.543786,WH-Kolkata,Central,Carrier C,Air,443.2,321.7,136,933,24622.43,0.4,0
SHP100536,2025-06-12 17:20:04.003336,WH-Delhi,North,Carrier B,Sea,80.4,251.2,138,4861,611.62,1.2,0
SHP100930,2025-10-10 08:02:48.140116,WH-Delhi,East,Carrier B,Road,615.6,395.1,124,2656,7770.35,0.8,0
SHP100731,2025-08-10 22:07:06.355296,WH-Kolkata,East,Carrier D,Road,185.4,202.0,126,4228,2676.57,0.2,0
SHP100957,2025-10-18 12:46:14.311926,WH-Kolkata,South,Carrier B,Road,784.4,,134,4355,9556.79,0.9,0
SHP100386,2025-04-28 04:25:25.271059,WH-Bengaluru,East,Carrier B,Road,92.1,499.4,117,2951,2203.83,,0
SHP100987,2025-10-27 15:21:10.058381,WH-Kolkata,South,Carrier C,Road,500.9,203.1,134,3198,6501.34,0.2,0
SHP100248,2025-03-17 06:56:44.837364,WH-Delhi,Central,Carrier B,Road,695.8,169.3,114,1195,9140.64,1.3,0
SHP100419,2025-05-08 04:51:50.592160,WH-Bengaluru,North,Carrier A,Road,539.9,144.0,136,4383,6769.56,0.6,0
SHP100073,2025-01-23 03:52:59.649708,WH-Mumbai,West,Carrier B,Road,736.7,240.5,109,782,8462.81,1.3,0
SHP100593,2025-06-30 00:38:25.921601,WH-Kolkata,South,Carrier B,Road,516.2,313.5,128,318,7231.85,1.6,1
SHP100546,2025-06-15 18:11:42.585487,WH-Kolkata,Central,Carrier C,Sea,198.1,200.5,127,149,1219.78,0.2,0
SHP101192,2025-12-28 20:59:50.992493,WH-Delhi,North,Carrier B,Road,722.5,122.9,109,3743,9400.76,0.8,0
SHP100983,2025-10-26 10:12:30.625521,WH-Bengaluru,North,Carrier D,Road,817.0,351.9,122,712,11019.84,0.9,0
SHP100870,2025-09-22 02:52:56.647206,WH-Mumbai,North,Carrier D,Road,355.6,41.2,118,4657,4068.22,0.8,0
SHP100452,2025-05-18 05:18:15.913261,WH-Bengaluru,North,Carrier D,Rail,543.7,530.2,137,1076,4695.6,0.6,0
SHP101176,2025-12-24 00:25:13.261050,WH-Kolkata,Central,Carrier A,Road,705.3,186.1,129,2774,8078.79,1.5,1
SHP100395,2025-04-30 21:59:53.994995,WH-Kolkata,Central,Carrier C,Road,412.8,114.5,117,1100,5130.41,0.2,0
SHP100202,2025-03-03 07:47:11.359466,WH-Mumbai,Central,Carrier A,Rail,551.5,154.3,116,1865,4940.86,1.7,0
SHP101008,2025-11-03 00:21:37.080900,WH-Bengaluru,Central,Carrier C,Road,173.9,206.7,94,1540,2428.55,1.1,0
SHP100049,2025-01-15 21:01:03.052543,WH-Kolkata,North,Carrier C,Road,592.8,121.0,118,890,7605.34,0.8,0
SHP101163,2025-12-20 01:42:05.104253,WH-Kolkata,South,Carrier C,Road,942.7,224.3,103,660,11961.54,0.6,0
SHP101134,2025-12-11 06:24:19.216013,WH-Bengaluru,East,Carrier B,Sea,425.3,83.3,121,160,2328.05,0.9,0
SHP100075,2025-01-23 18:27:19.366138,WH-Chennai,East,Carrier B,Road,174.6,137.3,101,4870,2223.58,0.2,0
SHP100616,2025-07-07 00:13:12.660550,WH-Mumbai,South,Carrier B,Road,466.3,165.1,114,1939,5540.73,0.2,0
SHP100236,2025-03-13 15:30:46.538782,WH-Mumbai,West,Carrier A,Road,481.5,145.8,132,4105,51266.03817361524,0.6,0
SHP100065,2025-01-20 17:35:40.783986,WH-Chennai,North,Carrier C,Rail,458.4,59.0,111,2233,4234.7,1.5,1
SHP100810,2025-09-03 21:43:05.154295,WH-Delhi,North,,Sea,233.7,376.3,107,4693,1634.83,0.2,0
SHP100529,2025-06-10 14:19:54.995829,WH-Bengaluru,South,Carrier C,Sea,520.2,331.7,133,2441,3625.09,1.1,0
SHP100680,2025-07-26 10:31:43.586321,WH-Mumbai,Central,Carrier A,Rail,511.6,545.8,130,1000,3994.58,0.2,0
SHP100584,2025-06-27 07:03:57.197664,WH-Bengaluru,Central,Carrier B,Road,1192.4,94.1,119,4960,14239.08,1.9,1
SHP100804,2025-09-02 02:00:06.005004,WH-Chennai,North,Carrier B,air,314.6,361.2,132,106,18393.53,0.5,0
SHP100851,2025-09-16 08:26:49.341117,WH-Chennai,West,Carrier B,Road,1344.1,744.3,139,4992,17337.67,1.4,1
SHP100169,2025-02-21 07:20:46.038365,WH-Delhi,North,Carrier D,Road,436.8,441.2,131,3490,6073.4,1.5,0
SHP100457,2025-05-19 17:44:05.204336,WH-Kolkata,South,Carrier D,Sea,812.0,245.5,116,868,3596.14,1.1,0
